Source,Target,Operator,ServiceNo,StopSequence
66009,66361,SBST,109,1
66361,66041,SBST,109,2
66041,66051,SBST,109,3
66051,63361,SBST,109,4
63361,63181,SBST,109,5
63181,63191,SBST,109,6
63191,63201,SBST,109,7
63201,63211,SBST,109,8
63211,64101,SBST,109,9
64101,64491,SBST,109,10
64491,64481,SBST,109,11
64481,64471,SBST,109,12
64471,64601,SBST,109,13
64601,64611,SBST,109,14
64611,64469,SBST,109,15
64469,64629,SBST,109,16
64629,67459,SBST,109,17
67459,67469,SBST,109,18
67469,67279,SBST,109,19
67279,67449,SBST,109,20
67449,67419,SBST,109,21
67419,67599,SBST,109,22
67599,65199,SBST,109,23
65199,77339,SBST,109,24
77339,77289,SBST,109,25
77289,77239,SBST,109,26
77239,77249,SBST,109,27
77249,78049,SBST,109,28
78049,77019,SBST,109,29
77019,77029,SBST,109,30
77029,77039,SBST,109,31
77039,77049,SBST,109,32
77049,77059,SBST,109,33
77059,78069,SBST,109,34
78069,78059,SBST,109,35
78059,98111,SBST,109,36
98111,98109,SBST,109,37
98109,98031,SBST,109,38
98031,98041,SBST,109,39
98041,98231,SBST,109,40
98231,98051,SBST,109,41
98051,98061,SBST,109,42
98061,98071,SBST,109,43
98071,99011,SBST,109,44
99011,99021,SBST,109,45
99021,99031,SBST,109,46
99031,99041,SBST,109,47
99041,99139,SBST,109,48
99139,99009,SBST,109,49
99009,99131,SBST,109,1
99131,99049,SBST,109,2
99049,99039,SBST,109,3
99039,99029,SBST,109,4
99029,99019,SBST,109,5
99019,98079,SBST,109,6
98079,98069,SBST,109,7
98069,98059,SBST,109,8
98059,98239,SBST,109,9
98239,98049,SBST,109,10
98049,98039,SBST,109,11
98039,98101,SBST,109,12
98101,98119,SBST,109,13
98119,78051,SBST,109,14
78051,78061,SBST,109,15
78061,77051,SBST,109,16
77051,77041,SBST,109,17
77041,77031,SBST,109,18
77031,77021,SBST,109,19
77021,77011,SBST,109,20
77011,77241,SBST,109,21
77241,77231,SBST,109,22
77231,77281,SBST,109,23
77281,77331,SBST,109,24
77331,65191,SBST,109,25
65191,67591,SBST,109,26
67591,67411,SBST,109,27
67411,67441,SBST,109,28
67441,67271,SBST,109,29
67271,67461,SBST,109,30
67461,67451,SBST,109,31
67451,64621,SBST,109,32
64621,64461,SBST,109,33
64461,64619,SBST,109,34
64619,64609,SBST,109,35
64609,64479,SBST,109,36
64479,64489,SBST,109,37
64489,64499,SBST,109,38
64499,64109,SBST,109,39
64109,63219,SBST,109,40
63219,63209,SBST,109,41
63209,63199,SBST,109,42
63199,63189,SBST,109,43
63189,63179,SBST,109,44
63179,63369,SBST,109,45
63369,66059,SBST,109,46
66059,66049,SBST,109,47
66049,66369,SBST,109,48
66369,66389,SBST,109,49
66389,66009,SBST,109,50
